country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,new_hospital_occupancy_count,new_icu_occupancy_count,source
Belgium,BE,BEL,11455519,2020-W43,2020-10-18,2020-10-24,28,,"TESSy COVID-19, national weekly data"
Czechia,CZ,CZE,10649800,2020-W43,2020-10-18,2020-10-24,81,14,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W43,2020-10-18,2020-10-24,2,,
Estonia,EE,EST,1324820,2020-W43,2020-10-18,2020-10-24,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W43,2020-10-18,2020-10-24,,2,
Greece,EL,GRC,10724599,2020-W43,2020-10-18,2020-10-24,,0,"TESSy COVID-19, national weekly data"
Iceland,IS,ISL,356991,2020-W43,2020-10-18,2020-10-24,14,,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W43,2020-10-18,2020-10-24,4,0,
Latvia,LV,LVA,1919968,2020-W43,2020-10-18,2020-10-24,6,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W43,2020-10-18,2020-10-24,,1,
Netherlands,NL,NLD,17282163,2020-W43,2020-10-18,2020-10-24,2,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W43,2020-10-18,2020-10-24,2,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W43,2020-10-18,2020-10-24,136,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W43,2020-10-18,2020-10-24,7,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W43,2020-10-18,2020-10-24,6,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W43,2020-10-18,2020-10-24,,0,
United Kingdom,UK,GBR,66647112,2020-W43,2020-10-18,2020-10-24,10,,
Belgium,BE,BEL,11455519,2020-W42,2020-10-11,2020-10-17,15,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W42,2020-10-11,2020-10-17,12,,
Cyprus,CY,CYP,875899,2020-W42,2020-10-11,2020-10-17,2,0,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W42,2020-10-11,2020-10-17,53,10,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W42,2020-10-11,2020-10-17,2,,
Estonia,EE,EST,1324820,2020-W42,2020-10-11,2020-10-17,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W42,2020-10-11,2020-10-17,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W42,2020-10-11,2020-10-17,,2,
Greece,EL,GRC,10724599,2020-W42,2020-10-11,2020-10-17,,0,"TESSy COVID-19, national weekly data"
Iceland,IS,ISL,356991,2020-W42,2020-10-11,2020-10-17,4,,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W42,2020-10-11,2020-10-17,3,0,
